cell,x_hot_mid_m,x_cold_mid_m,h_hot_W_m2K,h_cold_W_m2K,U_W_m2K,q_W,q_flux_W_m2,T_wall_hot_side_C,T_wall_cold_side_C,T_wall_mean_C,dP_hot_Pa,dpdz_cold_Pa_m,dP_cold_cell_Pa,cold_cumulative_dP_kPa,f_hot,f_cold,Re_hot,Re_cold,Re_cold_liquid,Re_cold_vapor,phi_f2_cold,X_cold,cold_two_phase_dp_model,cold_correlation,cold_temperature_change
50,2.5250000000000004,2.475,17524.871412939734,72987.8000234238,5108.22595276745,101.39772977716608,53793.16637444082,288.8064583063558,282.0823125095508,285.4443854079533,89.6052706557927,42150.23298890627,2107.5116494453137,107.38236672951513,0.015151632970398104,0.009684739541852944,190155.16802978812,1139184.6319702591,1139184.6319702591,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
51,2.575,2.4250000000000003,17521.8078331757,72990.78173814213,5107.980232286671,100.08704647355054,53097.8272857794,288.7288653201899,282.0916369094675,285.4102511148287,89.58950417887405,42151.51150880021,2107.5755754400107,109.48994230495514,0.01515355367518839,0.009684510967055285,190058.77809607406,1139292.184376929,1139292.184376929,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
52,2.625,2.375,17518.785804913372,72993.72973360679,5107.737810240121,98.79299086699602,52411.30946438295,288.65224798376767,282.10083430071984,285.3765411422438,89.57396855844956,42152.77527539788,2107.638763769894,111.59758106872503,0.015155449870678657,0.009684285135544379,189963.67805725354,1139398.4584370572,1139398.4584370572,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
53,2.6750000000000003,2.325,17515.804731403812,72996.6444216488,5107.498640617202,97.51536168897904,51733.506133983494,288.57659465307427,282.1099063863263,285.3432505197003,89.55866013186926,42154.02446626387,2107.7012233131936,113.70528229203823,0.015157321862043768,0.00968406201237006,189869.85027034977,1139503.470150869,1139503.470150869,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
54,2.725,2.2750000000000004,17512.864025769726,72999.52620948841,5107.262678138028,96.25395982607319,51064.31166162752,288.50189380380755,282.1188548461041,285.3103743249559,89.54357530153368,42155.25925705702,2107.762962852851,115.81304525489108,0.015159169950806134,0.00968384156300982,189777.2773458166,1139607.2353301332,1139607.2353301332,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
55,2.7750000000000004,2.225,17509.9631107922,73002.3754997767,5107.029878238144,95.00858830556074,50403.62155004277,288.42813403075036,282.127681336995,285.27790768387274,89.52871053357195,42156.47982154491,2107.823991077246,117.92086924596832,0.015160994434877898,0.009683623753363941,189685.94214348224,1139709.7696001094,1139709.7696001094,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
56,2.825,2.175,17507.101418703664,73005.19269063635,5106.800197053696,93.7790522807951,49751.33242987274,288.35530404711847,282.1363874933844,285.24584577025144,89.51406235654864,42157.68633161778,2107.884316580889,120.02875356254921,0.015162795608602836,0.009683408549750892,189595.8277685598,1139811.0884013963,1139811.0884013963,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
57,2.875,2.125,17504.27839098763,73007.97817570179,5106.573591407084,92.56515901642504,49107.3420518379,288.28339268390687,282.14497492742714,285.21418380566695,89.49962736020424,42158.87895730274,2107.943947865137,122.13669751041435,0.01516457376279731,0.009683195918902635,189506.9175677554,1139911.206991819,1139911.206991819,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
58,2.9250000000000003,2.075,17501.493478183253,73010.73234415893,5106.350018792947,91.36671787342367,48471.54927879333,288.2123888891956,282.1534452293464,285.18291705927106,89.48540219422115,42160.05786677808,2108.002893338904,124.24470040375326,0.015166329184791178,0.009682985827960053,189419.195125429,1140010.1404482692,1140010.1404482692,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
59,2.975,2.0250000000000004,17498.7461396965,73013.45558078574,5106.129437364628,90.18354029397224,47843.85407770934,288.14228172746675,282.16179996775304,285.1520408476099,89.4713835670215,42161.22322638754,2108.0611613193773,126.35276156507264,0.015168062158467633,0.009682778244468337,189332.64425985535,1140107.9036685745,1140107.9036685745,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
60,3.0250000000000004,1.975,17496.035843616057,73016.14826599245,5105.911805920972,89.01543978614434,47224.157511546124,288.0730603788794,282.1700406899362,285.1215505344078,89.4575682445895,42162.3752006545,2108.118760032725,128.46088032510536,0.015169772964303095,0.009682573136372516,189247.24901953022,1140204.511373308,1140204.511373308,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
61,3.075,1.9250000000000003,17493.362066534573,73018.81077586084,5105.697083893506,87.86223190844242,46612.361731050216,288.00471413854916,282.17816892216786,285.09144153035857,89.44395304932267,42163.51395229658,2108.175697614829,130.5690560227202,0.015171461879406318,0.009682370472012918,189162.99367956136,1140299.978107632,1140299.978107632,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
62,3.125,1.875,17490.72429337562,73021.44348218647,5105.485231334031,86.72373425422903,46008.369966494916,287.93723241581483,282.186186170003,285.06170929290886,89.43053485890994,42164.63964224071,2108.231982112036,132.67728800483223,0.015173129177556895,0.009682170220120637,189079.86273813318,1140394.3182431564,1140394.3182431564,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
63,3.1750000000000003,1.8250000000000002,17488.12201722444,73024.04675251592,5105.276208902464,85.59976643605408,45412.08651936573,287.870604733474,282.1940939185532,285.03234932601356,89.41731060523357,42165.75242963669,2108.287621481835,134.78557562631406,0.015174775129243603,0.00968197234981325,188997.84091302296,1140487.5459796747,1140487.5459796747,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
64,3.225,1.775,17485.554739164003,73026.62095018681,5105.06997785507,84.49015006985768,44823.41675397965,287.80482072703046,282.201893632783,285.00335717990674,89.40427727329595,42166.85247187205,2108.3426235936026,136.89391824990767,0.015176400001702206,0.009681776830590396,188916.91313818612,1140579.6753469796,1140579.6753469796,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
65,3.2750000000000004,1.725,17483.021968115623,73029.16643437036,5104.866500033038,83.39470875895961,44242.267088991335,287.7398701439163,282.2095867577923,284.9747284508543,89.39143190017325,42167.93992458757,2108.3969962293786,139.00231524613704,0.015178004058952534,0.009681583632329283,188837.0645604185,1140670.720206721,1140670.720206721,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
66,3.325,1.6750000000000003,17480.523220683735,73031.68356010671,5104.665737851305,82.31326807818066,43668.544988969225,287.67574284270745,282.2171747190863,284.94645878089693,89.37877157398952,42169.01494169062,2108.450747084531,141.11076599322158,0.01517958756183552,0.009681392725280586,188758.2805360601,1140760.6942540745,1140760.6942540745,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
67,3.375,1.625,17478.05802100476,73034.17267834712,5104.467654287711,81.24565555774319,43102.15895585449,287.61242879232964,282.2246589228479,284.9185438575888,89.36629343291602,42170.07767537068,2108.5038837685343,143.2192698769901,0.015181150768049543,0.009681204080064055,188680.54662777306,1140849.611019569,1140849.611019569,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
68,3.4250000000000003,1.5750000000000002,17475.625900600455,73036.63413599202,5104.272212872461,80.19170066702743,42543.01852034352,287.5499180712594,282.2320407562165,284.8909794137379,89.35399466419238,42171.12827611366,2108.556413805683,145.32782629079577,0.015182693932186356,0.009681017667664315,188603.84860137678,1140937.4838708148,1140937.4838708148,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
69,3.475,1.525,17473.226398234765,73039.06827593074,5104.07937767783,79.15123479853015,41991.03423337771,287.4882008667122,282.23932158753996,284.863761227126,89.34187250316928,42172.166892716865,2108.6083446358434,147.43643463543162,0.015184217305766728,0.009680833459426656,188528.17242273502,1141024.3260142559,1141024.3260142559,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
70,3.5250000000000004,1.475,17470.859059774586,73041.47543707959,5103.889113308146,78.12409125143535,41446.117657427436,287.4272674738222,282.24650276664386,284.836885120233,89.32992423237285,42173.193672303234,2108.6596836151616,149.5450943190468,0.015185721137275576,0.009680651427052916,188453.50425470306,1141110.1504968721,1141110.1504968721,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
71,3.575,1.4250000000000003,17468.523438054297,73043.85595442206,5103.701384890052,77.11010521543852,40908.181357910595,287.36710829482695,282.25358562508814,284.81034695995754,89.31814718059015,42174.20876033682,2108.710438016841,151.65380475706363,0.01518720567219666,0.009680471542597269,188379.83045413316,1141194.9702079457,1141194.9702079457,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
72,3.625,1.375,17466.21909274355,73046.21015904447,5103.516158062977,76.1091137543266,40377.13889448146,287.30771383822594,282.26057147641575,284.7841426573208,89.30653872197412,42175.21230063636,2108.7606150318184,153.76256537209545,0.015188671153047013,0.0096802937784623,188307.13756892458,1141278.7978806794,1141278.7978806794,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
